Alpha,Cl,Cd,Cm
146.001,-0.7242,0.9968,1.0
146.998,-0.7029,0.947,1.0
148.001,-0.6816,0.8965,1.0
148.998,-0.6603,0.8397,1.0
150.0,-0.639,0.7847,1.0
150.997,-0.6177,0.7373,1.0
152.0,-0.5964,0.6884,1.0
153.003,-0.5751,0.6264,1.0
154.0,-0.5538,0.5644,1.0
155.002,-0.5325,0.5321,1.0
155.999,-0.5112,0.4997,1.0
157.002,-0.4899,0.4712,1.0
157.999,-0.4686,0.4349,1.0
159.002,-0.4473,0.3234,1.0
159.998,-0.426,0.2365,1.0
161.001,-0.4047,0.2063,1.0
161.998,-0.3834,0.1753,1.0
163.001,-0.3621,0.1486,1.0
163.998,-0.3408,0.123,1.0
165.0,-0.3195,0.1002,1.0
165.997,-0.2982,0.082,1.0
167.0,-0.2769,0.0678,1.0
168.003,-0.2556,0.0577,1.0
169.0,-0.2343,0.0558,1.0
170.002,-0.213,0.051,1.0
170.999,-0.1917,0.0428,1.0
172.002,-0.1704,0.0353,1.0
172.999,-0.1491,0.0306,1.0
174.002,-0.1278,0.0261,1.0
174.998,-0.1065,0.0233,1.0
176.001,-0.0852,0.0206,1.0
176.998,-0.0639,0.0188,1.0
178.001,-0.0426,0.017,1.0
178.998,-0.0213,0.0159,1.0
180.0,0.0,0.0149,1.0
